Index,City Prints
0,"('City name is: cockburn town', 'Temperature is: 81.14 Fahrenheit', 'Humidity is: 79 %', 'Cloudiness is: 100 %', 'Wind Speed is: 10.22 mph')"
1,"('City name is: boa vista', 'Temperature is: 74.52 Fahrenheit', 'Humidity is: 93 %', 'Cloudiness is: 100 %', 'Wind Speed is: 1.39 mph')"
2,"('City name is: akonolinga', 'Temperature is: 67.98 Fahrenheit', 'Humidity is: 99 %', 'Cloudiness is: 100 %', 'Wind Speed is: 2.53 mph')"
3,"('City name is: tignere', 'Temperature is: 64.85 Fahrenheit', 'Humidity is: 98 %', 'Cloudiness is: 100 %', 'Wind Speed is: 0.45 mph')"
4,"('City name is: mana', 'Temperature is: 80.22 Fahrenheit', 'Humidity is: 82 %', 'Cloudiness is: 100 %', 'Wind Speed is: 20.56 mph')"
5,"('City name is: cayenne', 'Temperature is: 81.14 Fahrenheit', 'Humidity is: 82 %', 'Cloudiness is: 99 %', 'Wind Speed is: 17.27 mph')"
6,"('City name is: salalah', 'Temperature is: 83.59 Fahrenheit', 'Humidity is: 84 %', 'Cloudiness is: 66 %', 'Wind Speed is: 19.44 mph')"
7,"('City name is: saint-augustin', 'Temperature is: 52.59 Fahrenheit', 'Humidity is: 87 %', 'Cloudiness is: 100 %', 'Wind Speed is: 1.28 mph')"
8,"('City name is: daoukro', 'Temperature is: 73.4 Fahrenheit', 'Humidity is: 95 %', 'Cloudiness is: 100 %', 'Wind Speed is: 7.18 mph')"
9,"('City name is: touros', 'Temperature is: 82.49 Fahrenheit', 'Humidity is: 73 %', 'Cloudiness is: 78 %', 'Wind Speed is: 10.49 mph')"
10,"('City name is: tsihombe', 'Temperature is: 34.16 Fahrenheit', 'Humidity is: 96 %', 'Cloudiness is: 100 %', 'Wind Speed is: 37.09 mph')"
11,"('City name is: port alfred', 'Temperature is: 26.22 Fahrenheit', 'Humidity is: 97 %', 'Cloudiness is: 100 %', 'Wind Speed is: 29.93 mph')"
12,"('City name is: jamestown', 'Temperature is: 70.32 Fahrenheit', 'Humidity is: 69 %', 'Cloudiness is: 0 %', 'Wind Speed is: 10.74 mph')"
13,"('City name is: quelimane', 'Temperature is: 74.16 Fahrenheit', 'Humidity is: 75 %', 'Cloudiness is: 32 %', 'Wind Speed is: 20.42 mph')"
14,"('City name is: viedma', 'Temperature is: 47.68 Fahrenheit', 'Humidity is: 74 %', 'Cloudiness is: 100 %', 'Wind Speed is: 11.43 mph')"
15,"('City name is: jamestown', 'Temperature is: 65.17 Fahrenheit', 'Humidity is: 68 %', 'Cloudiness is: 39 %', 'Wind Speed is: 11.41 mph')"
16,"('City name is: taolanaro', 'Temperature is: 53.73 Fahrenheit', 'Humidity is: 85 %', 'Cloudiness is: 92 %', 'Wind Speed is: 32.59 mph')"
17,"('City name is: soyo', 'Temperature is: 73.04 Fahrenheit', 'Humidity is: 82 %', 'Cloudiness is: 5 %', 'Wind Speed is: 10.27 mph')"
18,"('City name is: urubicha', 'Temperature is: 70.81 Fahrenheit', 'Humidity is: 69 %', 'Cloudiness is: 16 %', 'Wind Speed is: 2.86 mph')"
19,"('City name is: chuy', 'Temperature is: 50.43 Fahrenheit', 'Humidity is: 91 %', 'Cloudiness is: 100 %', 'Wind Speed is: 7.25 mph')"
